stimuli_images,face,demoReps.thisRepN,demoReps.thisTrialN,demoReps.thisN,demoReps.thisIndex,stimuli,demo_face,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruction.started,instruction_resp.started,instruction_resp.keys,instruction_resp.rt,startDemo.started,demoInstruction.started,startDemo.stopped,demoInstruction.stopped,demoFixation.started,demoImage.started,demoResp.started,demoFixation.stopped,demoResp.keys,demoResp.rt,Feedback.started,demoLoop.started,demoLoopResp.started,Feedback.stopped,demoLoopResp.keys,demoLoopResp.rt,ExpInstruc.started,continueExp.started,continueExp.keys,continueExp.rt,fixation.started,expImg.started,exp_resp.started,fixation.stopped,exp_resp.keys,exp_resp.rt,expFeedback.started,expFeedback.stopped,participant,session,date,expName,psychopyVersion,frameRate,
images/AF - Knight.png,y,,,,,,,0,39,39,27,,,,,,,,,,,,,,,,,,,,,,,,,94.28155369999877,94.74829960000352,94.74829960000352,94.78195819999382,n,0.20793600000615697,94.98104329999478,95.98102340000332,218225,001,2023-05-29_00h32.17.437,pareidolia,2023.1.2,59.92893627217672,
images/NF - Onion.jpg,n,,,,,,,0,40,40,17,,,,,,,,,,,,,,,,,,,,,,,,,95.98102340000332,96.48136579999118,96.48136579999118,96.48136579999118,n,0.04014199999801349,96.54784309999377,97.5477666999941,218225,001,2023-05-29_00h32.17.437,pareidolia,2023.1.2,59.92893627217672,
images/ANF - girl 1.png,n,,,,,,,0,41,41,33,,,,,,,,,,,,,,,,,,,,,,,,,97.5477666999941,98.04822519999288,98.04822519999288,98.04822519999288,n,0.1875284000125248,98.26445459999377,99.28133319999324,218225,001,2023-05-29_00h32.17.437,pareidolia,2023.1.2,59.92893627217672,
images/ANF - knight.png,n,,,,,,,0,42,42,34,,,,,,,,,,,,,,,,,,,,,,,,,99.28133319999324,99.7650200999924,99.7650200999924,99.78159040000173,n,0.022144300004583783,99.81452359999821,100.81510079999862,218225,001,2023-05-29_00h32.17.437,pareidolia,2023.1.2,59.92893627217672,
images/F - Onion.jpg,y,,,,,,,0,43,43,4,,,,,,,,,,,,,,,,,,,,,,,,,100.81510079999862,101.29855900000257,101.29855900000257,101.31448089999321,n,0.08609560001059435,101.41444659999979,102.43197320000036,218225,001,2023-05-29_00h32.17.437,pareidolia,2023.1.2,59.92893627217672,
images/ANF - girl 2.png,n,,,,,,,1,0,44,41,,,,,,,,,,,,,,,,,,,,,,,,,102.43197320000036,102.91500239999732,102.91500239999732,102.93139159999555,n,0.227432299987413,103.16488260000187,104.18165430000226,218225,001,2023-05-29_00h32.17.437,pareidolia,2023.1.2,59.92893627217672,
images/ANF - knight.png,n,,,,,,,1,1,45,34,,,,,,,,,,,,,,,,,,,,,,,,,104.18165430000226,104.64813800000411,104.64813800000411,104.68134789999749,n,0.10351230000378564,104.78153659999953,105.79994450000231,218225,001,2023-05-29_00h32.17.437,pareidolia,2023.1.2,59.92893627217672,
images/F - Elec-Plug.jpg,y,,,,,,,1,2,46,2,,,,,,,,,,,,,,,,,,,,,,,,,105.79994450000231,106.28177159999905,106.28177159999905,106.3155773000035,n,0.24027880000357982,106.54809830000158,107.54845999999088,218225,001,2023-05-29_00h32.17.437,pareidolia,2023.1.2,59.92893627217672,
images/ANF - Otter.jpg,n,,,,,,,1,3,47,35,,,,,,,,,,,,,,,,,,,,,,,,,107.54845999999088,108.04811439999321,108.04811439999321,108.04811439999321,n,0.19993740000063553,108.26475469999423,109.26521149999462,218225,001,2023-05-29_00h32.17.437,pareidolia,2023.1.2,59.92893627217672,
images/F - Chilli.png,y,,,,,,,1,4,48,37,,,,,,,,,,,,,,,,,,,,,,,,,109.26521149999462,109.76493799999298,109.76493799999298,109.76493799999298,n,0.07593150000320747,109.86431229999289,110.8816974999936,218225,001,2023-05-29_00h32.17.437,pareidolia,2023.1.2,59.92893627217672,
images/NF - Tree.jpg,n,,,,,,,1,5,49,15,,,,,,,,,,,,,,,,,,,,,,,,,110.8816974999936,111.36458280000079,111.36458280000079,111.38157440000214,n,0.0061560000031022355,111.39804649999132,112.39879649999784,218225,001,2023-05-29_00h32.17.437,pareidolia,2023.1.2,59.92893627217672,
images/F - Bag 2.jpg,y,,,,,,,1,6,50,7,,,,,,,,,,,,,,,,,,,,,,,,,112.39879649999784,112.8849174999923,112.8849174999923,112.90165400000114,n,0.13695429998915642,113.05104859999847,,218225,001,2023-05-29_00h32.17.437,pareidolia,2023.1.2,59.92893627217672,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.08165480000025,114.54815849999432,114.54815849999432,114.58130179998989,n,0.09245319999172352,114.66409120000026,,,,,,,,
