stimuli_images,face,demoReps.thisRepN,demoReps.thisTrialN,demoReps.thisN,demoReps.thisIndex,stimuli,demo_face,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruction.started,instruction_resp.started,instruction_resp.keys,instruction_resp.rt,startDemo.started,demoInstruction.started,startDemo.stopped,demoInstruction.stopped,demoFixation.started,demoFixation.stopped,demoImage.started,demoResp.started,demoResp.keys,demoResp.rt,Feedback.started,Feedback.stopped,demoLoop.started,demoLoopResp.started,demoLoopResp.keys,demoLoopResp.rt,ExpInstruc.started,continueExp.started,continueExp.keys,continueExp.rt,fixation.started,expImg.started,exp_resp.started,fixation.stopped,exp_resp.keys,exp_resp.rt,expFeedback.started,expFeedback.stopped,goodbye.started,goodbye_resp.started,goodbye_resp.keys,goodbye_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,8.552198700010194,8.552198700010194,y,0.5849708000023384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,669267,001,2023-05-29_00h38.23.808,pareidolia,2023.1.2,60.418032364579744,
,,,,,,,,,,,,,,,,9.176493799997843,10.160871100000804,10.1794421000086,11.16284540000197,11.16284540000197,11.663156399998115,11.663156399998115,11.663156399998115,y,1.2773429999942891,12.962538699997822,13.96255850000307,13.96255850000307,13.96255850000307,y,0.35775149999244604,14.346215600002324,14.346215600002324,y,0.5477023999992525,,,,,,,,,,,,,669267,001,2023-05-29_00h38.23.808,pareidolia,2023.1.2,60.418032364579744,
images/AF - Otter.jpg,y,,,,,,,0,0,0,28,,,,,,,,,,,,,,,,,,,,,,,,,14.927124100009678,15.395898500006297,15.395898500006297,15.429645800002618,y,0.9318684000027133,16.346088799997233,17.361047500002314,,,,,669267,001,2023-05-29_00h38.23.808,pareidolia,2023.1.2,60.418032364579744,
images/F - Bag.jpg,y,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,17.361047500002314,17.846435600004042,17.846435600004042,17.863847000000533,y,0.8056999999971595,18.679567200000747,19.790442800003802,,,,,669267,001,2023-05-29_00h38.23.808,pareidolia,2023.1.2,60.418032364579744,
images/AF - Aquamarine.png,y,,,,,,,0,2,2,20,,,,,,,,,,,,,,,,,,,,,,,,,19.790442800003802,20.16337590001058,20.16337590001058,20.29660130001139,y,0.5560437999956775,20.74682610000309,,,,,,669267,001,2023-05-29_00h38.23.808,pareidolia,2023.1.2,60.418032364579744,
images/F - Tree.jpg,y,,,,,,,0,3,3,6,,,,,,,,,,,,,,,,,,,,,,,,,21.761149600002682,22.229749100006302,22.229749100006302,22.263027900000452,y,0.8863322999968659,23.146473000000697,24.146829300007084,,,,,669267,001,2023-05-29_00h38.23.808,pareidolia,2023.1.2,60.418032364579744,
images/F - Coffee.png,y,,,,,,,0,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,24.146829300007084,24.64640140000847,24.64640140000847,24.64640140000847,y,0.7006466000020737,25.363071900006616,26.377342000007047,,,,,669267,001,2023-05-29_00h38.23.808,pareidolia,2023.1.2,60.418032364579744,
images/AF- Dance.png,y,,,,,,,0,5,5,30,,,,,,,,,,,,,,,,,,,,,,,,,26.377342000007047,26.863079100003233,26.863079100003233,26.87976150000759,y,1.489534399996046,28.379552200000035,29.37944210000569,,,,,669267,001,2023-05-29_00h38.23.808,pareidolia,2023.1.2,60.418032364579744,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.37944210000569,29.37944210000569,y,8.712759500005632,669267,001,2023-05-29_00h38.23.808,pareidolia,2023.1.2,60.418032364579744,
