stimuli_images,face,demoReps.thisRepN,demoReps.thisTrialN,demoReps.thisN,demoReps.thisIndex,stimuli,demo_face,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruction.started,instruction_resp.started,instruction_resp.keys,instruction_resp.rt,startDemo.started,demoInstruction.started,startDemo.stopped,demoInstruction.stopped,demoFixation.started,demoFixation.stopped,demoImage.started,demoResp.started,demoResp.keys,demoResp.rt,Feedback.started,Feedback.stopped,demoLoop.started,demoLoopResp.started,demoLoopResp.keys,demoLoopResp.rt,ExpInstruc.started,continueExp.started,continueExp.keys,continueExp.rt,fixation.started,expImg.started,exp_resp.started,fixation.stopped,exp_resp.keys,expFeedback.started,expImg.stopped,exp_resp.stopped,expFeedback.stopped,exp_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
images/F - Tree.jpg,y,,,,,,,2,39,127,6,,,,,,,,,,,,,,,,,,,,,,,,,518.3473464999988,518.8307638999977,518.8307638999977,518.8474825000012,n,518.9976213000045,,,520.0141627999983,0.13634760001150426,753708,001,2023-05-29_00h16.00.247,pareidolia,2023.1.2,60.17263528822907,
images/NF - Elec-Plug.jpg,n,,,,,,,2,40,128,10,,,,,,,,,,,,,,,,,,,,,,,,,520.0141627999983,520.4979066999949,520.4979066999949,520.5144446000049,n,520.6978190000082,,,521.6978534000082,0.17191610000736546,753708,001,2023-05-29_00h16.00.247,pareidolia,2023.1.2,60.17263528822907,
images/ANF - Fox.jpg,n,,,,,,,2,41,129,32,,,,,,,,,,,,,,,,,,,,,,,,,521.6978534000082,522.197962899998,522.197962899998,522.197962899998,n,522.3147931999993,,,523.3299494999956,0.09368700000050012,753708,001,2023-05-29_00h16.00.247,pareidolia,2023.1.2,60.17263528822907,
images/AF - Duck.png,y,,,,,,,2,42,130,25,,,,,,,,,,,,,,,,,,,,,,,,,523.3299494999956,523.8143420999986,523.8143420999986,523.8311866000004,n,523.964229899997,,,524.9645523000072,0.1250478000001749,753708,001,2023-05-29_00h16.00.247,pareidolia,2023.1.2,60.17263528822907,
images/NF - Tiang.jpg,n,,,,,,,2,43,131,18,,,,,,,,,,,,,,,,,,,,,,,,,524.9645523000072,525.4643577999959,525.4643577999959,525.4643577999959,n,525.6807023000001,,,,0.19681050001236144,753708,001,2023-05-29_00h16.00.247,pareidolia,2023.1.2,60.17263528822907,
images/F - Mugs.jpg,y,,,,,,,3,0,132,3,,,,,,,,,,,,,,,,,,,,,,,,,526.6954037999967,527.1810651999986,527.1810651999986,527.1978315000015,n,527.2483753999986,,,528.2774310999957,0.03819639999710489,753708,001,2023-05-29_00h16.00.247,pareidolia,2023.1.2,60.17263528822907,
images/ANF- Dance.png,n,,,,,,,3,1,133,36,,,,,,,,,,,,,,,,,,,,,,,,,528.2774310999957,528.7479744000011,528.7479744000011,528.7816919000034,n,528.8307313999976,,,529.8659775999986,0.05445049999980256,753708,001,2023-05-29_00h16.00.247,pareidolia,2023.1.2,60.17263528822907,
images/ANF - Panda.jpg,n,,,,,,,3,2,134,43,,,,,,,,,,,,,,,,,,,,,,,,,529.8659775999986,530.3310991000035,530.3310991000035,530.3648652999982,n,530.3809369999944,,,531.4049350999994,0.030665300000691786,753708,001,2023-05-29_00h16.00.247,pareidolia,2023.1.2,60.17263528822907,
images/ANF - knight.png,n,,,,,,,3,3,135,34,,,,,,,,,,,,,,,,,,,,,,,,,531.4049350999994,531.8809689000045,531.8809689000045,531.9149608000007,n,532.2479617000063,,,533.2485263999988,0.3410312000050908,753708,001,2023-05-29_00h16.00.247,pareidolia,2023.1.2,60.17263528822907,
images/AF - Cat.jpg,y,,,,,,,3,4,136,24,,,,,,,,,,,,,,,,,,,,,,,,,533.2485263999988,533.7476840000018,533.7476840000018,533.7476840000018,n,533.8642824999988,,,534.890578999999,0.08522790001006797,753708,001,2023-05-29_00h16.00.247,pareidolia,2023.1.2,60.17263528822907,
images/AF - Knight.png,y,,,,,,,3,5,137,27,,,,,,,,,,,,,,,,,,,,,,,,,534.890578999999,535.3486517999991,535.3486517999991,535.3977621999948,n,535.480705199996,,,536.5161538999964,0.10630100000707898,753708,001,2023-05-29_00h16.00.247,pareidolia,2023.1.2,60.17263528822907,
images/NF - Chilli.png,n,,,,,,,3,6,138,38,,,,,,,,,,,,,,,,,,,,,,,,,536.5161538999964,536.9814995000052,536.9814995000052,537.0310026000079,n,537.1308967000077,,,538.1649474000005,0.12704659999872092,753708,001,2023-05-29_00h16.00.247,pareidolia,2023.1.2,60.17263528822907,
images/NF - Vege.png,n,,,,,,,3,7,139,19,,,,,,,,,,,,,,,,,,,,,,,,,538.1649474000005,538.6311018999986,538.6311018999986,538.6647285000072,n,538.6809388999973,,,539.8363708999968,0.03289780000341125,753708,001,2023-05-29_00h16.00.247,pareidolia,2023.1.2,60.17263528822907,
images/ANF - Aquamarine.png,n,,,,,,,3,8,140,39,,,,,,,,,,,,,,,,,,,,,,,,,539.8363708999968,540.1814983000077,540.1814983000077,540.3480434999947,n,540.3480434999947,,,541.3648840999958,0.14890479999303352,753708,001,2023-05-29_00h16.00.247,pareidolia,2023.1.2,60.17263528822907,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,541.3648840999958,,,,,,,,,,,,,,,,
