demoReps.thisRepN,demoReps.thisTrialN,demoReps.thisN,demoReps.thisIndex,stimuli,demo_face,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruction.started,instruction_resp.started,instruction_resp.keys,instruction_resp.rt,startDemo.started,demoInstruction.started,startDemo.stopped,demoInstruction.stopped,demoFixation.started,demoImage.started,demoResp.started,demoFixation.stopped,demoResp.keys,demoResp.rt,Feedback.started,demoLoop.started,demoLoopResp.started,Feedback.stopped,demoLoopResp.keys,demoLoopResp.rt,fixation.started,expInstruction.started,fixation.stopped,expInstruction.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,7.756923499997356,7.756923499997356,y,0.6169325000082608,,,,,,,,,,,,,,,,,,,,,501680,001,2023-05-28_15h48.22.800,pareidolia,2023.1.2,60.181145251607674,
,,,,,,0,0,0,0,,,,,8.491371700001764,9.393345300006331,9.492795199999819,10.403518999999505,10.403518999999505,10.876551699999254,10.876551699999254,10.909508199998527,y,0.7191281000123126,11.686693700001342,12.675898600005894,12.675898600005894,12.692933500002255,y,3.2351680000138003,16.020382300004712,16.526678399997763,16.526678399997763,17.02636469999561,501680,001,2023-05-28_15h48.22.800,pareidolia,2023.1.2,60.181145251607674,
,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,17.02636469999561,17.52629409999645,17.52629409999645,18.026425999996718,501680,001,2023-05-28_15h48.22.800,pareidolia,2023.1.2,60.181145251607674,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.026425999996718,,,,,,,,,,
