stimuli_images,face,demoReps.thisRepN,demoReps.thisTrialN,demoReps.thisN,demoReps.thisIndex,stimuli,demo_face,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruction.started,instruction_resp.started,instruction_resp.keys,instruction_resp.rt,startDemo.started,demoInstruction.started,startDemo.stopped,demoFixation.started,demoInstruction.stopped,demoFixation.stopped,demoImage.started,demoResp.started,demoResp.keys,demoResp.rt,Feedback.started,Feedback.stopped,demoLoop.started,demoLoopResp.started,demoLoopResp.keys,demoLoopResp.rt,ExpInstruc.started,continueExp.started,continueExp.keys,continueExp.rt,fixation.started,expImg.started,exp_resp.started,fixation.stopped,expImg.stopped,exp_resp.stopped,exp_resp.keys,expFeedback.started,expFeedback.stopped,exp_resp.rt,goodbye.started,goodbye_resp.started,goodbye_resp.keys,goodbye_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
images/ANF - Otter.jpg,n,,,,,,,0,14,14,35,,,,,,,,,,,,,,,,,,,,,,,,,68.7158330999955,69.19903319999867,69.19903319999867,69.21590260000085,72.19942669999728,72.19942669999728,None,72.19942669999728,73.19970109999122,,,,,,540650,001,2023-05-29_00h39.20.399,pareidolia,2023.1.2,59.46508775397142,
images/AF - Fox.jpg,y,,,,,,,0,15,15,26,,,,,,,,,,,,,,,,,,,,,,,,,73.19970109999122,73.7020663999865,73.7020663999865,73.7020663999865,76.69941299999482,76.69941299999482,None,76.69941299999482,77.72645579998789,,,,,,540650,001,2023-05-29_00h39.20.399,pareidolia,2023.1.2,59.46508775397142,
images/F - House.jpg,y,,,,,,,0,16,16,8,,,,,,,,,,,,,,,,,,,,,,,,,77.72645579998789,78.19977609999478,78.19977609999478,78.23269749998872,81.19887779999408,81.19887779999408,None,81.19887779999408,82.19976789999055,,,,,,540650,001,2023-05-29_00h39.20.399,pareidolia,2023.1.2,59.46508775397142,
images/NF - Coffee.jpg,n,,,,,,,0,17,17,13,,,,,,,,,,,,,,,,,,,,,,,,,82.19976789999055,82.70182329999807,82.70182329999807,82.70182329999807,,,None,85.71810939999705,,,,,,,540650,001,2023-05-29_00h39.20.399,pareidolia,2023.1.2,59.46508775397142,
images/ANF - Cat.jpg,n,,,,,,,0,18,18,31,,,,,,,,,,,,,,,,,,,,,,,,,86.71689549999428,87.19968629999494,87.19968629999494,87.21657089999644,90.19931379999616,90.19931379999616,None,90.19931379999616,91.19962709999527,,,,,,540650,001,2023-05-29_00h39.20.399,pareidolia,2023.1.2,59.46508775397142,
images/NF - Tiang.jpg,n,,,,,,,0,19,19,18,,,,,,,,,,,,,,,,,,,,,,,,,91.19962709999527,91.68434909998905,91.68434909998905,91.69982080000045,94.68350459999056,94.68350459999056,None,94.70042629999807,95.71415709999565,,,,,,540650,001,2023-05-29_00h39.20.399,pareidolia,2023.1.2,59.46508775397142,
images/F - Tree.jpg,y,,,,,,,0,20,20,6,,,,,,,,,,,,,,,,,,,,,,,,,95.71415709999565,96.20002720000048,96.20002720000048,96.21623279999767,99.1996885999979,99.1996885999979,None,99.1996885999979,100.21423899999354,,,,,,540650,001,2023-05-29_00h39.20.399,pareidolia,2023.1.2,59.46508775397142,
images/ANF- Dance.png,n,,,,,,,0,21,21,36,,,,,,,,,,,,,,,,,,,,,,,,,100.21423899999354,100.69794129999354,100.69794129999354,100.71646709999186,103.7012173999974,103.7012173999974,None,103.7012173999974,,,,,,,540650,001,2023-05-29_00h39.20.399,pareidolia,2023.1.2,59.46508775397142,
images/F - Onion.jpg,y,,,,,,,0,22,22,4,,,,,,,,,,,,,,,,,,,,,,,,,104.72021979998681,105.20365469998796,105.20365469998796,105.22065659999498,,,None,108.21613639999123,,,,,,,540650,001,2023-05-29_00h39.20.399,pareidolia,2023.1.2,59.46508775397142,
images/F - Coffee.png,y,,,,,,,0,23,23,1,,,,,,,,,,,,,,,,,,,,,,,,,109.21698529999412,109.69968959999096,109.69968959999096,109.71892379999917,112.70057579998684,112.70057579998684,None,112.70057579998684,113.71396699998877,,,,,,540650,001,2023-05-29_00h39.20.399,pareidolia,2023.1.2,59.46508775397142,
images/AF- Dance.png,y,,,,,,,0,24,24,30,,,,,,,,,,,,,,,,,,,,,,,,,113.71396699998877,114.20141199999489,114.20141199999489,114.21759429998929,,,None,117.21660309999424,,,,,,,540650,001,2023-05-29_00h39.20.399,pareidolia,2023.1.2,59.46508775397142,
images/NF - House.jpg,n,,,,,,,0,25,25,14,,,,,,,,,,,,,,,,,,,,,,,,,118.21710149999126,118.69872549999855,118.69872549999855,118.73429189999297,121.70221899999888,121.70221899999888,None,121.70221899999888,,,,,,,540650,001,2023-05-29_00h39.20.399,pareidolia,2023.1.2,59.46508775397142,
images/NF - Chilli.png,n,,,,,,,0,26,26,38,,,,,,,,,,,,,,,,,,,,,,,,,122.73137159999169,123.20049299999664,123.20049299999664,123.23348649998661,126.19995229999768,126.19995229999768,None,126.19995229999768,127.20060089998879,,,,,,540650,001,2023-05-29_00h39.20.399,pareidolia,2023.1.2,59.46508775397142,
